author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
Null,Perspectives on Enclosure Methods,Null,2001,Null,https://doi.org/10.1007/978-3-7091-6282-8,Springer,Null,Null,Null,Null,Null,Null,db/books/collections/KLF2001.html,Null,"Ulrich W. Kulisch, Rudolf Lohner, Axel Facius",Null,Null,Null,978-3-211-83590-6,Null,Null,Null
Null,Microphone Arrays - Signal Processing Techniques and Applications,Null,2001,Null,https://doi.org/10.1007/978-3-662-04619-7,Springer,Microphone Arrays,Null,Null,Null,Null,Null,db/books/collections/BW2001.html,Null,"Michael S. Brandstein, Darren B. Ward",Null,Null,Null,978-3-642-07547-6,Digital Signal Processing,Null,Null
Null,CSCW-Kompendium,Null,2001,Null,https://doi.org/10.1007/978-3-642-56848-0,Springer,CSCW-Kompendium,Null,Null,Null,Null,Null,db/books/collections/SSU2001.html,Null,"Gerhard Schwabe, Norbert A. Streitz, Rainer Unland",Null,Null,Null,978-3-540-67552-5,Null,Null,Null
Null,Privacy and Identity Management for Life,Null,2011,Null,https://doi.org/10.1007/978-3-642-20317-6,Springer,Privacy and Identity Management for Life,Null,Null,Null,Null,Null,db/books/collections/primelife2011.html,Null,"Jan Camenisch, Simone Fischer-Hübner, Kai Rannenberg",Null,Null,Null,"978-3-642-20316-9, 978-3-642-20317-6",Null,Null,Null
Klaus Echtle,Fehlermaskierung durch verteilte Systeme,Null,1986,Null,https://doi.org/10.1007/978-3-642-71147-3,Springer,Null,Null,Null,121,Null,Null,Null,Null,Null,Null,Null,Null,3-540-16464-2,Informatik-Fachberichte,Null,Null
Null,Managing Requirements Knowledge.,Null,2013,Null,https://doi.org/10.1007/978-3-642-34419-0,Springer,Null,Null,Null,Null,Null,Null,db/books/collections/MT2013.html,Null,"Walid Maalej, Anil Kumar Thurimella",Null,Null,Null,"978-3-642-34418-3, 978-3-642-34419-0",Null,Null,Null
"Leo Corry, Raya Leviathan",WEIZAC: An Israeli Pioneering Adventure in Electronic Computing (1945-1963),Null,2019,1-94,https://doi.org/10.1007/978-3-030-25734-7,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-25733-0,Null,Null,Null
Filipe Calegario,Designing Digital Musical Instruments Using Probatio - A Physical Prototyping Toolkit,Null,2019,1-139,https://doi.org/10.1007/978-3-030-02892-3,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-02891-6,Computational Synthesis and Creative Systems,Null,Null
"Slawomir Stanczak, Marcin Wiczanowski, Holger Boche",Resource Allocation in Wireless Networks: Theory and Algorithms.,Null,2006,Null,https://doi.org/10.1007/11818762,Springer,Null,Null,Null,4000,Null,Null,Null,Null,Null,Null,Null,Null,3-540-46248-1,Lecture Notes in Computer Science,Null,Null
Null,"Ada 95 Rationale, The Language, The Standard Libraries",Null,1997,Null,https://doi.org/10.1007/BFb0051526,Springer,Null,Null,Null,1247,Null,Null,Null,Null,John G. P. Barnes,Null,Null,Null,3-540-63143-7,Lecture Notes in Computer Science,Null,Null
"Victor R. Basili, Adam Trendowicz, Martin Kowalczyk, Jens Heidrich, Carolyn B. Seaman, Jürgen Münch, H. Dieter Rombach",Aligning Organizations Through Measurement - The GQM+Strategies Approach,Null,2014,1-185,https://doi.org/10.1007/978-3-319-05047-8,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-319-05046-1, 978-3-319-05047-8",The Fraunhofer IESE Series on Software and Systems Engineering,Null,Null
"Hong Mei, Jian Lü 0001",Internetware - A New Software Paradigm for Internet Computing,Null,2016,3-442,https://doi.org/10.1007/978-981-10-2546-4,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-981-10-2545-7,Null,Null,Null
Wolfgang Everling,Exercises in Computer Systems Analysis,Null,1975,Null,https://doi.org/10.1007/BFb0021159,Springer,Null,Null,Null,35,Null,Null,Null,Null,Null,Null,Null,Null,3-540-07401-5,Lecture Notes in Computer Science,Null,Null
Changsheng Hua,Reinforcement Learning Aided Performance Optimization of Feedback Control Systems,"University of Duisburg-Essen, Germany",2021,1-127,"https://doi.org/10.1007/978-3-658-33034-7, https://d-nb.info/1223792668",Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-658-33033-0,Null,Null,Null
Null,"Managing Information Highways - The PRISM Book: Principles, Methods, and Case Studies for Designing Telecommunications Management Systems",Null,1996,Null,https://doi.org/10.1007/BFb0024333,Springer,Null,Null,Null,1164,Null,Null,Null,Null,"Kim Berquist, Andrew Berquist",Null,Null,Null,3-540-62008-7,Lecture Notes in Computer Science,Null,Null
Guido Pfeiffer,"Erzeugung interaktiver Bildverarbeitungssysteme im Dialog: Konzepte, Entwurf und Implementierung eines Dialogsystems für die Bildverarbeitung in der Medizin","University of Hamburg, Germany",1982,Null,"https://doi.org/10.1007/978-3-642-68352-7, https://d-nb.info/820071889",Springer,Null,Null,Null,51,Null,Null,Null,Null,Null,Null,Null,Null,3-540-11181-6,Informatik-Fachberichte,Null,Null
Null,Handbook of Large-Scale Distributed Computing in Smart Healthcare,Null,2017,Null,https://doi.org/10.1007/978-3-319-58280-1,Springer,Null,Null,Null,Null,Null,Null,db/books/collections/KZA2017.html,Null,"Samee U. Khan, Albert Y. Zomaya, Assad Abbas",Null,Null,Null,"978-3-319-58279-5, 978-3-319-58280-1",Null,Null,Null
Arunesh Goyal,"Moving from C to C++ - Discussing Programming Problems, Why They Exist, and How C++ Solves Them",Null,2013,1-634,https://doi.org/10.1007/978-1-4302-6095-0,Apress,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-1-4302-6094-3,Null,Null,Null
"Cas Cremers, Sjouke Mauw",Operational Semantics and Verification of Security Protocols,Null,2012,1-155,https://doi.org/10.1007/978-3-540-78636-8,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-540-78636-8,Information Security and Cryptography,Null,Null
Null,Autonomic Road Transport Support Systems,Null,2016,Null,https://doi.org/10.1007/978-3-319-25808-9,Springer,Null,Null,Null,Null,Null,Null,db/books/collections/MKMKRS2016.html,Null,"Thomas Leo McCluskey, Apostolos Kotsialos, Jörg P. Müller, Franziska Klügl, Omer F. Rana, René Schumann",Null,Null,Null,978-3-319-25806-5,Null,Null,Null
Ali Sunyaev,Internet Computing - Principles of Distributed Systems and Emerging Internet-Based Technologies,Null,2020,1-413,https://doi.org/10.1007/978-3-030-34957-8,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-34956-1,Null,Null,Null
Steffen Staab,"Grading Knowledge, Extracting Degree Information from Texts.","University of Freiburg, Freiburg im Breisgau, Germany",1999,1-187,"https://doi.org/10.1007/3-540-46618-5, https://nbn-resolving.org/urn:nbn:de:1111-20061009527, https://d-nb.info/957903847, https://d-nb.info/965576841",Springer,Null,Null,Null,1744,Null,Null,Null,Null,Null,Null,Null,Null,3-540-66934-5,Lecture Notes in Computer Science,Null,Null
Robert Spence,Information Visualization - An Introduction,Null,2014,1-292,https://doi.org/10.1007/978-3-319-07341-5,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-319-07340-8, 978-3-319-07341-5",Null,Null,Null
Null,Confluence of Computer Vision and Computer Graphics,Null,2000,Null,https://doi.org/10.1007/978-94-011-4321-9,Kluwer / Springer,Null,Null,Null,84,Null,Null,db/books/collections/LSB2000.html,Null,"Ales Leonardis, Franc Solina, Ruzena Bajcsy",Null,Null,Null,978-0-7923-6612-6,NATO Science Series,Null,Null
Null,Handbook on Electronic Commerce,Null,2000,Null,https://doi.org/10.1007/978-3-642-58327-8,Springer,Null,Null,Null,Null,Null,Null,db/books/collections/SBSW2000.html,Null,"Michael J. Shaw, Robert W. Blanning, Troy J. Strader, Andrew B. Whinston",Null,Null,Null,978-3-540-67344-6,Null,Null,Null
Null,Artificial Neural Networks in Biomedicine,Null,2000,Null,https://doi.org/10.1007/978-1-4471-0487-2,Springer,Null,Null,Null,Null,Null,Null,db/books/collections/LIS2000.html,Null,"Paulo J. G. Lisboa, Emmanuel C. Ifeachor, Piotr S. Szczepaniak",Null,Null,Null,978-1-85233-005-7,Perspectives in Neural Computing,Null,Null
Null,Handbook on Parallel and Distributed Processing,Null,2000,Null,https://doi.org/10.1007/978-3-662-04303-5,Springer,Null,Null,Null,Null,Null,Null,db/books/collections/BEPT2000.html,Null,"Jacek Blazewicz, Klaus Ecker, Brigitte Plateau, Denis Trystram",Null,Null,Null,"978-3-540-66441-3, 978-3-642-08571-0, 978-3-662-04303-5",International Handbooks on Information Systems,Null,Null
Null,Finite Versus Infinite,Null,2000,Null,"https://doi.org/10.1007/978-1-4471-0751-4, https://www.wikidata.org/entity/Q57001741",Springer,Null,Null,Null,Null,Null,Null,db/books/collections/CP2000.html,Null,"Cristian Calude, Gheorghe Paun",Null,Null,Null,978-1-85233-251-8,Discrete mathematics and theoretical computer science,Null,Null
Null,Volume Graphics,Null,2000,Null,https://doi.org/10.1007/978-1-4471-0737-8,Springer,Null,Null,Null,Null,Null,Null,db/books/collections/CKY2000.html,Null,"Min Chen 0001, Arie E. Kaufman, Roni Yagel",Null,Null,Null,978-1-85233-192-4,Null,Null,Null
Null,Computational Intelligence in Data Mining,Null,2000,Null,https://doi.org/10.1007/978-3-7091-2588-5,Springer,Null,Null,Null,408,Null,Null,db/books/collections/RKL2000.html,Null,"Giacomo Della Riccia, Rudolf Kruse, Hans-Joachim Lenz",Null,Null,Null,978-3-211-83326-1,International Centre for Mechanical Sciences (CISM) Book Series,Null,Null
Null,Personal Multimedia Preservation - Remembering or Forgetting Images and Video,Null,2018,Null,https://doi.org/10.1007/978-3-319-73465-1,Springer,Personal Multimedia Preservation,Null,Null,Null,Null,Null,db/books/collections/MNL2018.html,Null,"Vasileios Mezaris, Claudia Niederée, Robert H. Logie",Null,Null,Null,"978-3-319-73464-4, 978-3-319-73465-1",Null,Null,Null
Null,Handbook of Big Data Technologies,Null,2017,Null,"https://doi.org/10.1007/978-3-319-49340-4, https://www.wikidata.org/entity/Q62752378",Springer,Null,Null,Null,Null,Null,Null,db/books/collections/ZS2017.html,Null,"Albert Y. Zomaya, Sherif Sakr",Null,Null,Null,"978-3-319-49339-8, 978-3-319-49340-4",Null,Null,Null
Null,Computational Music Analysis,Null,2016,Null,https://doi.org/10.1007/978-3-319-25931-4,Springer,Computational Music Analysis,Null,Null,Null,Null,Null,db/books/collections/Me2016.html,Null,David Meredith 0001,Null,Null,Null,"978-3-319-25929-1, 978-3-319-25931-4",Null,Null,Null
"Zhiwei Xu, Jialin Zhang",Computational Thinking: A Perspective on Computer Science,Null,2021,1-319,https://doi.org/10.1007/978-981-16-3848-0,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-981-16-3847-3,Null,Null,Null
"Jinpeng Yu, Peng Shi 0001, Jiapeng Liu",Intelligent Backstepping Control for the Alternating-Current Drive Systems,Null,2021,1-221,https://doi.org/10.1007/978-3-030-67723-7,Springer,Null,Null,Null,349,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-67722-0,Null,Null,Null
Erik Champion,"Playing with the Past: Into the Future, Second Edition",Null,2022,1-221,https://doi.org/10.1007/978-3-031-10932-4,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-031-10931-7,Human-Computer Interaction Series,Null,Null
"Rastko R. Selmic, Vir V. Phoha, Abdul Serwadda","Wireless Sensor Networks - Security, Coverage, and Localization",Null,2016,1-215,https://doi.org/10.1007/978-3-319-46769-6,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-319-46767-2, 978-3-319-46769-6",Null,Null,Null
Null,Algebraic System Specification and Development - A Survey and Annotated Bibliography,Null,1991,Null,https://doi.org/10.1007/BFb0018512,Springer,Null,Null,Null,501,Null,Null,Null,Null,"Michel Bidoit, Hans-Jörg Kreowski, Pierre Lescanne, Fernando Orejas, Donald Sannella",Null,Null,Null,3-540-54060-1,Lecture Notes in Computer Science,Null,Null
Michel Raynal,Fault-Tolerant Message-Passing Distributed Systems - An Algorithmic Approach,Null,2018,1-459,https://doi.org/10.1007/978-3-319-94141-7,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-319-94140-0,Null,Null,Null
"Felix Gessert, Wolfram Wingerath, Norbert Ritter",Fast and Scalable Cloud Data Management,Null,2020,1-193,https://doi.org/10.1007/978-3-030-43506-6,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-43505-9,Null,Null,Null
"Chee Keong Ng, Lei Pan 0002, Yang Xiang 0001",Honeypot Frameworks and their Applications: A New Framework,Null,2018,1-81,https://doi.org/10.1007/978-981-10-7739-5,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-981-10-7738-8,SpringerBriefs on Cyber Security Systems and Networks,Null,Null
Charles A. Shoniregun,Synchronizing Internet Protocol Security (SIPSec),Null,2007,1-218,https://doi.org/10.1007/978-0-387-68569-4,Springer,Null,Null,Null,34,Null,Null,Null,Null,Null,Null,Null,Null,978-0-387-32724-2,Advances in Information Security,Null,Null
Uttama Lahiri,"A Computational View of Autism - Using Virtual Reality Technologies in Autism Intervention, 2",Null,2020,1-713,https://doi.org/10.1007/978-3-030-40237-2,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-40236-5,Null,Null,Null
"Michel Bidoit, Peter D. Mosses",Casl User Manual - Introduction to Using the Common Algebraic Specification Language,Null,2004,Null,"https://doi.org/10.1007/b11968, https://www.wikidata.org/entity/Q57783457",Springer,Null,Null,Null,2900,Null,Null,Null,Null,Null,Null,Null,Null,3-540-20766-X,Lecture Notes in Computer Science,Null,Null
"David L. Olson, Desheng Wu",Predictive Data Mining Models,Null,2017,1-97,https://doi.org/10.1007/978-981-10-2543-3,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-981-10-2542-6, 978-981-10-2543-3",Computational Risk Management,Null,Null
"Christoph Meinel, Justus F. M. Broß, Philipp Berger 0001, Patrick Hennig",Blogosphere and its Exploration,Null,2015,3-246,https://doi.org/10.1007/978-3-662-44409-2,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-662-44408-5, 978-3-662-44409-2",Null,Null,Null
Null,Handbook of Re-Engineering Software Intensive Systems into Software Product Lines,Null,2023,Null,https://doi.org/10.1007/978-3-031-11686-5,Springer International Publishing,Handbook of Re-Engineering Software Intensive Systems into Software Product Lines,Null,Null,Null,Null,Null,db/books/collections/LMA2023.html,Null,"Roberto E. Lopez-Herrejon, Jabier Martinez, Wesley Klewerton Guez Assunção, Tewfik Ziadi, Mathieu Acher, Silvia Regina Vergilio",Null,Null,Null,978-3-031-11685-8,Null,Null,Null
Null,UML-Based Software Product Line Engineering with SMarty,Null,2023,Null,https://doi.org/10.1007/978-3-031-18556-4,Springer,Null,Null,Null,Null,Null,Null,db/books/collections/O2023.html,Null,Edson OliveiraJr,Null,Null,Null,"978-3-031-18555-7, 978-3-031-18556-4",Null,Null,Null
Null,Hyperparameter Tuning for Machine and Deep Learning with R - A Practical Guide,Null,2023,Null,https://doi.org/10.1007/978-981-19-5170-1,Springer,Null,Null,Null,Null,Null,Null,db/books/collections/BBZM2023.html,Null,"Eva Bartz, Thomas Bartz-Beielstein, Martin Zaefferer, Olaf Mersmann",Null,Null,Null,"978-981-19-5169-5, 978-981-19-5170-1",Null,Null,Null
Null,A Glimpse Beyond 5G in Wireless Networks,Null,2023,Null,https://doi.org/10.1007/978-3-031-13786-0,Springer,Null,Null,Null,Null,Null,Null,db/books/collections/M2023.html,Null,Mohammad Abdul Matin 0001,Null,Null,Null,"978-3-031-13785-3, 978-3-031-13786-0",Null,Null,Null
Dirk Lewandowski,Understanding Search Engines,Null,2023,Null,https://doi.org/10.1007/978-3-031-22789-9,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-031-22789-9, 978-3-031-22788-2",Null,Null,Null
Null,Towards Responsible Machine Translation - Ethical and Legal Considerations in Machine Translation,Null,2023,Null,https://doi.org/10.1007/978-3-031-14689-3,Springer,Towards Responsible Machine Translation,Null,Null,4,Null,Null,db/books/collections/ME2023.html,Null,"Helena Moniz, Carla Parra Escartín",Null,Null,Null,"978-3-031-14688-6, 978-3-031-14689-3",Null,Null,Null
Null,Artificial Intelligence and Cybersecurity: Theory and Applications,Null,2023,Null,https://doi.org/10.1007/978-3-031-15030-2,Springer International Publishing,Artificial Intelligence and Cybersecurity,Null,Null,Null,Null,Null,db/books/collections/SKK2023.html,Null,"Tuomo Sipola, Tero Kokkonen, Mika Karjalainen",Null,Null,Null,978-3-031-15029-6,Null,Null,Null
Null,Decision Making Under Uncertainty and Constraints - A Why-Book,Null,2023,Null,https://doi.org/10.1007/978-3-031-16415-6,Springer,Decision Making Under Uncertainty and Constraints,Null,Null,217,Null,Null,db/books/collections/CM2023.html,Null,"Martine Ceberio, Vladik Kreinovich",Null,Null,Null,"978-3-031-16414-9, 978-3-031-16415-6",Null,Null,Null
Null,Smart Computer Vision,Null,2023,Null,https://doi.org/10.1007/978-3-031-20541-5,Springer,Null,Null,Null,Null,Null,Null,db/books/collections/KSSD2023.html,Null,"B. Vinoth Kumar, P. Sivakumar, B. Surendiran, Junhua Ding",Null,Null,Null,"978-3-031-20540-8, 978-3-031-20541-5",EAI/Springer Innovations in Communication and Computing (EAISICC),Null,Null
Null,Real Life Applications of Multiple Criteria Decision Making Techniques in Fuzzy Domain,Null,2023,Null,https://doi.org/10.1007/978-981-19-4929-6,Springer,Null,Null,Null,420,Null,Null,db/books/collections/SSY2023.html,Null,"Laxminarayan Sahoo, Tapan Senapati, Ronald R. Yager",Null,Null,Null,"978-981-19-4928-9, 978-981-19-4929-6",Null,Null,Null
Null,"IoT Edge Solutions for Cognitive Buildings - Technology, Communications and Computing",Null,2023,Null,https://doi.org/10.1007/978-3-031-15160-6,Springer,IoT Edge Solutions for Cognitive Buildings,Null,Null,Null,Null,Null,db/books/collections/CGVS2023.html,Null,"Franco Cicirelli, Antonio Guerrieri, Andrea Vinci, Giandomenico Spezzano",Null,Null,Null,"978-3-031-15159-0, 978-3-031-15160-6",Null,Null,Null
Null,The Evolution of Pervasive Information Systems,Null,2023,Null,https://doi.org/10.1007/978-3-031-18176-4,Springer,Null,Null,Null,Null,Null,Null,db/books/collections/PSRS2023.html,Null,"Manuele Kirsch-Pinheiro, Carine Souveyet, Philippe Roose, Luiz Angelo Steffenel",Null,Null,Null,978-3-031-18175-7,Null,Null,Null
Null,Emerging Trends in Cybersecurity Applications,Null,2023,Null,https://doi.org/10.1007/978-3-031-09640-2,Springer International Publishing,Null,Null,Null,Null,Null,Null,db/books/collections/DAPM2023.html,Null,"Kevin Daimi, Abeer Alsadoon, Cathryn Peoples, Nour El Madhoun",Null,Null,Null,978-3-031-09639-6,Null,Null,Null
Null,Query Processing in Database Systems,Null,1985,Null,Null,Springer,Null,Null,Null,Null,Null,Null,db/books/collections/kim85.html,Null,"Won Kim 0001, David S. Reiner, Don S. Batory",Null,Null,books/sp/KimRB85,3-540-13831-5,Null,Null,Null
Jürgen Lind,Iterative Software Engineering for Multiagent Systems: The MASSIVE Method,Null,2001,Null,https://doi.org/10.1007/3-540-45162-5,Springer,Null,Null,Null,1994,Null,Null,Null,Null,Null,Null,Null,Null,3-540-42166-1,Lecture Notes in Computer Science,Null,Null
Mahdi Derakhshanmanesh,Model-Integrating Software Components - Engineering Flexible Software Systems,Null,2015,1-333,https://doi.org/10.1007/978-3-658-09646-5,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-658-09645-8, 978-3-658-09646-5",Null,Null,Null
"Reiko Heckel, Gabriele Taentzer",Graph Transformation for Software Engineers - With Applications to Model-Based Development and Domain-Specific Language Engineering,Null,2020,5-284,https://doi.org/10.1007/978-3-030-43916-3,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-43915-6,Null,Null,Null
"Peter Spyns, Maria-Esther Vidal",Scientific Peer Reviewing - Practical Hints and Best Practices,Null,2015,1-57,https://doi.org/10.1007/978-3-319-25084-7,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-319-25083-0, 978-3-319-25084-7",Null,Null,Null
"Norbert Ryska, Siegfried Herda",Kryptographische Verfahren in der Datenverarbeitung,Null,1980,Null,https://doi.org/10.1007/978-3-642-95368-2,Springer,Null,Null,Null,24,Null,Null,Null,Null,Null,Null,Null,Null,3-540-09900-X,Informatik-Fachberichte,Null,Null
"Loveleen Gaur, Biswa Mohan Sahoo",Explainable Artificial Intelligence for Intelligent Transportation Systems - Ethics and Applications,Null,2022,1-90,https://doi.org/10.1007/978-3-031-09644-0,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-031-09643-3,Null,Null,Null
"Daniel Große, Rolf Drechsler",Quality-Driven SystemC Design,Null,2010,Null,http://www.springerlink.com/content/978-90-481-3631-5,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-90-481-3630-8,Null,Null,Null
Null,Information Quality in Information Fusion and Decision Making,Null,2019,Null,"https://link.springer.com/book/10.1007/978-3-030-03643-0, https://doi.org/10.1007/978-3-030-03643-0, https://www.wikidata.org/entity/Q63064249",Springer,Null,Null,Null,Null,Null,Null,db/books/collections/BR2019.html,Null,"Éloi Bossé, Galina L. Rogova",Null,Null,Null,"978-3-030-03642-3, 978-3-030-03643-0",Null,Null,Null
Edwin Lughofer,"Evolving Fuzzy Systems - Methodologies, Advanced Concepts and Applications",Null,2011,1-410,https://doi.org/10.1007/978-3-642-18087-3,Springer,Null,Null,Null,266,Null,Null,Null,Null,Null,Null,Null,Null,978-3-642-18086-6,Studies in Fuzziness and Soft Computing,Null,Null
"Pradipta Maji, Sushmita Paul",Scalable Pattern Recognition Algorithms - Applications in Computational Biology and Bioinformatics,Null,2014,1-297,https://doi.org/10.1007/978-3-319-05630-2,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-319-05629-6, 978-3-319-05630-2",Null,Null,Null
"Xiaofei Wang 0001, Yiwen Han, Victor C. M. Leung, Dusit Niyato, Xueqiang Yan, Xu Chen 0004",Edge AI - Convergence of Edge Computing and Artificial Intelligence,Null,2020,3-149,https://doi.org/10.1007/978-981-15-6186-3,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-981-15-6185-6,Null,Null,Null
Ying Tan 0002,Fireworks Algorithm - A Novel Swarm Intelligence Optimization Method,Null,2015,3-299,https://doi.org/10.1007/978-3-662-46353-6,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-662-46352-9, 978-3-662-46353-6",Null,Null,Null
"Sergei Kurgalin, Sergei Borzunov",Algebra and Geometry with Python,Null,2021,1-425,https://doi.org/10.1007/978-3-030-61541-3,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-61540-6,Null,Null,Null
"Werner Kuich, Arto Salomaa","Semirings, Automata, Languages",Null,1986,"I-IX, 1-374",https://doi.org/10.1007/978-3-642-69959-7,Springer,Null,Null,Null,5,Null,Null,Null,Null,Null,Null,Null,Null,"3-540-13716-5, 978-3-642-69961-0, 978-3-642-69959-7",EATCS Monographs on Theoretical Computer Science,Null,Null
Olav Lysne,The Huawei and Snowden Questions - Can Electronic Equipment from Untrusted Vendors be Verified? Can an Untrusted Vendor Build Trust into Electronic Equipment?,Null,2018,1-116,https://doi.org/10.1007/978-3-319-74950-1,Springer,Null,Null,Null,4,Null,Null,Null,Null,Null,Null,Null,Null,978-3-319-74949-5,Null,Null,Null
Henrik Loeser,Web-Datenbanken: Einsatz objekt-relationaler Datenbanken für Web-Informationssysteme,"Kaiserslautern University of Technology, Germany",2001,1-221,https://d-nb.info/961539585,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3-540-41932-2,Null,Null,Null
"Yinyan Zhang, Shuai Li 0002",Machine Behavior Design And Analysis - A Consensus Perspective,Null,2020,1-183,https://doi.org/10.1007/978-981-15-3231-3,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-981-15-3230-6,Null,Null,Null
Heinz Bender,Korrekte Zugriffe zu verteilten Daten,"Karlsruhe Institute of Technology, Germany",1983,Null,"https://doi.org/10.1007/978-3-642-69022-8, https://d-nb.info/830401989",Springer,Null,Null,Null,63,Null,Null,Null,Null,Null,Null,Null,Null,3-540-12282-6,Informatik-Fachberichte,Null,Null
Oskar Juhlin,Social Media on the Road - The Future of Car Based Computing.,Null,2010,"i-xii, 1-201",https://doi.org/10.1007/978-1-84996-332-9,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-1-84996-331-2, 978-1-84996-332-9",Computer Supported Cooperative Work,Null,Null
Kurt Mehlhorn,Data Structures and Algorithms 2: Graph Algorithms and NP-Completeness,Null,1984,"I-XII, 1-262","https://doi.org/10.1007/978-3-642-69897-2, http://www.mpi-sb.mpg.de/~mehlhorn/DatAlgbooks.html, https://www.worldcat.org/oclc/35427979",Springer,Null,Null,Null,2,Null,Null,Null,Null,Null,Null,Null,Null,"3-540-13641-X, 0-387-13641-X, 978-3-642-69899-6, 978-3-642-69897-2",EATCS Monographs on Theoretical Computer Science,Null,Null
Null,Correct Software in Web Applications and Web Services,Null,2015,Null,https://doi.org/10.1007/978-3-319-17112-8,Springer,Correct Software in Web Applications and Web Services,Null,Null,Null,Null,Null,db/books/collections/thalheim2015.html,Null,"Bernhard Thalheim, Klaus-Dieter Schewe, Andreas Prinz 0001, Bruno Buchberger",Null,Null,Null,"978-3-319-17111-1, 978-3-319-17112-8",Texts and monographs in symbolic computation,Null,Null
"Andrei Alexandru, Gabriel Ciobanu",Finitely Supported Mathematics - An Introduction,Null,2016,1-185,https://doi.org/10.1007/978-3-319-42282-4,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-319-42281-7, 978-3-319-42282-4",Null,Null,Null
Yasir Zaki,Future Mobile Communications - LTE Optimization and Mobile Network Virtualization,University of Bremen,2013,1-155,"https://doi.org/10.1007/978-3-658-00808-6, https://d-nb.info/1026180384, https://d-nb.info/1060808889",Springer,Null,Null,Null,1,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-658-00807-9, 978-3-658-00808-6",Advanced Studies Mobile Research Center Bremen,Null,Null
Null,Speech Separation by Humans and Machines,Null,2005,Null,https://doi.org/10.1007/b99695,Springer,Null,Null,Null,Null,Null,Null,db/books/collections/D2005.html,Null,Pierre L. Divenyi,Null,Null,Null,"978-1-4020-8001-2, 978-0-387-22794-8",Null,Null,Null
Null,Evolutionary Multiobjective Optimization,Null,2005,Null,https://doi.org/10.1007/1-84628-137-7,Springer,Null,Null,Null,Null,Null,Null,db/books/collections/AJG2005.html,Null,"Ajith Abraham, Lakhmi C. Jain, Robert R. Goldberg",Null,Null,Null,1852337877,Advanced Information and Knowledge Processing,Null,Null
Null,Ambient Intelligence,Null,2005,Null,https://doi.org/10.1007/b138670,Springer,Null,Null,Null,Null,Null,Null,db/books/collections/WRA2005.html,Null,"Werner Weber, Jan M. Rabaey, Emile H. L. Aarts",Null,Null,Null,"978-3-540-23867-6, 978-3-540-27139-0",Null,Null,Null
